song_mbid,artist_mbid,playcount,listeners
00024b08-7e17-3939-8b31-463f5d15342d,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,5029786,534876
0006ff85-f08f-4c5a-844d-ce0ec70ad670,381086ea-f511-4aba-bdf9-71c753dc5077,4688553,685162
000990d2-b2d4-330e-8f92-a9e09ef32b13,f181961b-20f7-459e-89de-920ef03c7ed0,13745477,1440389
000a6540-ef70-36a6-b321-85813d43c5ea,16243662-8538-4746-a0fb-0d15b5828b8e,8791847,1037448
000c81ee-bc19-4fa0-ae9f-856ec9a92c3c,e07d9474-00ea-4460-ac27-88b46b3d976e,7721229,733712
000eda4a-2abe-33a3-93ad-0a26f12cb05e,ff6e677f-91dd-4986-a174-8db0474b1799,9685447,1239882
0016fd70-8ac1-485c-b52f-60c04ed99cdc,9689aa5a-4471-4fb4-9721-07cecda0fa9f,6190496,907646
00174935-c076-4b05-96d9-121258957fc0,37547347-ea75-45fa-9766-ff36b44d8147,3935511,386398
001c4b89-4cd1-45ca-92c9-196cfe71c9f0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,10248384,847376
001f2770-4a3f-4baf-8cbd-132b54a87568,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,17003401,1446492
0025eb0c-9832-4446-b5cd-90f7f5cca285,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,20061225,1392769
0026b8bf-374e-4b03-93a2-46c30f589d4a,923e649b-21d3-4b45-b109-50e4978002b6,9199473,915718
00280126-4ae7-4eab-89ad-18556d9e3dde,012151a8-0f9a-44c9-997f-ebd68b5389f9,8714506,735916
0029d6b6-07d1-48df-af6b-a12e361cd611,9c9f1380-2516-4fc9-a3e6-f9f61941d090,12231114,1042451
002aa669-7b0c-471c-b964-0963ed8967a8,34557d8f-ee4a-44ab-ae6e-49bb8ac604d0,17165880,1136231
002dd514-f96a-4832-b226-d52827aa6504,61a57a2a-4c7f-4b41-8109-1070a9c32242,6390042,639551
002fcb5e-e450-4306-8598-8851888b003a,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,6544067,748141
003079e2-b52d-4c6d-bbac-186176b164f8,9fff2f8a-21e6-47de-a2b8-7f449929d43f,10887919,1257683
00321820-f015-4552-9b92-780b0321bede,44cf61b8-5197-448a-b82b-cef6ee89fac5,7476106,743313
0034214e-6f4c-441e-8776-927b66fc6646,7593e0e2-fc1c-4855-a645-731c7504e16b,3994437,200826
00343d54-9aac-4fbe-b9b9-4f1ca732b38d,cc0b7089-c08d-4c10-b6b0-873582c17fd6,10155442,1234219
00348281-f9a5-4c14-a14d-60c9a84e04b4,7eb1ce54-a355-41f9-8d68-e018b096d427,7973213,708959
00352978-6080-41f5-976c-83bb9fa38701,0d79fe8e-ba27-4859-bb8c-2f255f346853,10159878,438301
00360039-bbdf-35a0-9ef5-3f244d617aed,f59c5520-5f46-4d2c-b2c4-822eabf53419,6030933,722277
0039e104-1316-4b36-881b-2e88e4a4a845,bfcb6630-9b31-4e63-b11f-7b0363be72b5,6488057,768070
003ac778-257a-4b6d-b339-5c2141433900,122d63fc-8671-43e4-9752-34e846d62a9c,6518802,728848
003adc88-b7a5-3d0c-820a-512fbfcded64,03ad1736-b7c9-412a-b442-82536d63a5c4,7241748,711068
003bd65f-76e8-4725-9a32-e4ec2aeb9125,074e3847-f67f-49f9-81f1-8c8cea147e8e,4701289,303703
003c1a9b-166d-478a-a182-1d190b8773d6,84d4283e-903a-42c4-a0d2-d3949bfa1f3f,2588110,160473
003e75e4-7e77-3dcb-b460-5b79d8a2c123,7527f6c2-d762-4b88-b5e2-9244f1e34c46,9138640,715934
003f70c6-8a7d-4208-b441-e21956888b25,b9472588-93f3-4922-a1a2-74082cdf9ce8,7873505,746095
003fab47-b81a-377b-afc4-48ce4fd6fc1d,4bb4e4e4-5f66-4509-98af-62dbb90c45c5,12284137,1491695
00400cd7-d6e6-4a3f-a219-7dedda3933ab,b7539c32-53e7-4908-bda3-81449c367da6,10712789,729662
00408f71-1551-336b-8398-0e3805ca3d10,67930b3e-e00b-469f-8c74-fd69f20522ec,9323747,969534
0043af91-a2b1-3144-8afe-ed351c72dd4c,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,8403922,1012861
00469a82-abc5-4367-bde1-a59a4d30bcaf,3862342a-43c4-4cdb-8250-bfdbfb5e1419,9451304,1007799
0046faae-0716-4534-bc70-6639a418bf63,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,4086943,299647
00495476-ba90-4a72-9a5a-28642097d33d,f59c5520-5f46-4d2c-b2c4-822eabf53419,7130720,840338
004ab209-1a88-4588-b1c7-c7e251baf3ef,f59c5520-5f46-4d2c-b2c4-822eabf53419,8847403,1021675
004cdfd7-1b97-316d-9e77-e3184d03d421,23a03e33-a603-404e-bcbf-2c00159d7067,5266169,805953
004e9a12-c1c7-3c7e-bf84-89868575f995,650e7db6-b795-4eb5-a702-5ea2fc46c848,3631480,433292
005328e6-7861-4a9b-9336-c7e18aca53ad,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,12761645,673383
00566504-e04e-45b4-9ef2-263c48bd8f99,516cef4d-0718-4007-9939-f9b38af3f784,3661930,392778
00579615-cf05-41fa-ae4d-4b1ba3210202,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,9778026,596761
0059ccf7-55af-40f4-8d57-81a23ec12e14,95663592-1447-4579-90f7-c94733476667,4454428,172439
005add72-0edb-43bb-9434-93a709cbf1f2,a2a3f910-b188-43e7-81d0-f1ac2a2f3e12,2454736,179271
005e9bb1-0ba9-3da1-a764-425d90236e75,8aa5b65a-5b3c-4029-92bf-47a544356934,4775404,706248
006100f9-ee53-4257-886d-9ad846762870,c44e9c22-ef82-4a77-9bcd-af6c958446d6,8107239,984386
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,302bd7b9-d012-4360-897a-93b00c855680,1574109,260845
007d902d-20fc-41da-865f-7db1eb767c41,650e7db6-b795-4eb5-a702-5ea2fc46c848,14316760,1094845
007fc3b5-2686-4166-b2f0-a451e43d49b6,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,7635049,1070936
00817bfd-581c-3003-baea-860f902c686b,94b0fb9d-a066-4823-b2ec-af1d324bcfcf,5465346,691470
0084aa8b-a191-4d95-a01b-1d1aafb9345d,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,12138268,796531
0084cadd-72b8-46e1-b770-4b0cf02188a2,381086ea-f511-4aba-bdf9-71c753dc5077,13636974,1121982
008ea438-3403-4bea-a421-3c05dd11ed0e,20244d07-534f-4eff-b4d4-930878889970,20270039,941958
009007c3-92e4-4d80-8c32-8e694b8fbd26,8da127cc-c432-418f-b356-ef36210d82ac,7834121,487773
0091f824-4f72-46cb-956b-1cad85d91e51,23a03e33-a603-404e-bcbf-2c00159d7067,10418529,1432602
0094a8e3-9dbf-4008-b438-8480a09bd431,a0e8a1b1-5f8f-475a-a253-17415c17d0ff,3891443,346749
0099207f-df9a-32a6-a29b-89a7cc61c551,c234fa42-e6a6-443e-937e-2f4b073538a3,2284964,375730
009e4934-00cd-400a-a6c6-0af86d148565,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,8255828,674498
00a00530-7b80-4603-b894-0cf329228bfb,3b997560-44d4-4b50-befe-b3450f928404,1924,209
00a36fc4-6b38-4e0d-bba8-738841578351,b4691384-50c3-4afd-9988-51d3ec5db65d,11832979,926383
00a912ab-af01-487e-af2a-a663486690e2,b4691384-50c3-4afd-9988-51d3ec5db65d,8194080,771437
00a9c969-b3ed-4b4b-a837-7ba9faa4070c,9c9f1380-2516-4fc9-a3e6-f9f61941d090,18252336,1768892
00aa2021-128d-4115-a964-243171c5d11e,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,11918393,1268338
00aa58ef-d13c-4ad2-a43f-881a5808a3b0,70198b37-f6c7-4cc7-a728-4224e860a15f,3455349,312613
00af969e-562f-4a44-8e9e-57df7296fdd7,74922d42-c3ec-4f7d-8a24-20da6eda6ba6,5785205,408937
00bba725-f387-4173-bf3d-f60004e16dac,4b585938-f271-45e2-b19a-91c634b5e396,4468154,572527
00bf1344-5b09-33eb-a66c-53a6960f9e2c,109958eb-a335-4c5e-907e-597ff4c6af46,4496229,848717
00c908a1-a32c-4e01-9c54-65ca0ebc36b3,ebf373ec-73ca-4d28-a78d-839b2b1703d4,7635086,630610
00ca3041-dba9-3f4d-ac0e-b0a418860e6c,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,3967844,529844
00cab8ee-ab3e-4b09-8f14-a192cdcf17fd,c07f0676-9143-4217-8a9f-4c26bd636f13,8209372,757071
00d0b554-854b-365f-b67e-22ff8fa1e729,084308bd-1654-436f-ba03-df6697104e19,5310333,663728
00d18422-b30c-473b-a132-f1552bf8867b,1c5efd53-d6b6-4d63-9d22-a15025cf5f07,3197806,298726
00da0572-3d07-4e10-b811-5618b233f222,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,8809878,706113
00de32bb-4c7c-4b58-9951-e6e953a81748,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,9880896,610102
00de7e6f-bc69-49f1-9841-3ecf76e0f460,f0805df4-1541-48b1-8482-4c789f83cfcf,6899199,565610
00df4b23-feb5-4c7b-a23d-3515d1637edf,21a14ee3-cede-420a-9d6d-a33517d2f952,7386131,710733
00df8252-3c56-47f6-8300-f72b746ae6aa,72c536dc-7137-4477-a521-567eeb840fa8,4535595,651884
00dfd899-d4d8-450e-8d39-857d8bc9daef,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,2500848,191172
00e04d2c-ea40-438f-9451-9d2a5b81a82d,e07d9474-00ea-4460-ac27-88b46b3d976e,3770471,458856
00e27795-7c69-4836-95f0-a8aba3fcce82,f59c5520-5f46-4d2c-b2c4-822eabf53419,12658931,1181325
00e5da80-7021-4372-82bb-f66c46b96b8f,48646387-1664-4c9a-9139-9bfd091b823c,13917929,774741
00e781e0-636a-40ba-a25a-9d3e4c2d2a45,d574c9bd-46f6-440a-8d6a-8412a283eeb1,6362683,1034768
00e78e59-4890-3816-88f5-bc4b4b12716b,cc0b7089-c08d-4c10-b6b0-873582c17fd6,13650013,1329085
00e9beaa-dd9d-4ab5-97b7-181eae4278cc,1ac10f5e-2079-4435-b78f-dda6ecdeba15,6045423,432332
00ef2bc9-9b43-41b0-b6d6-6cc823479ee0,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,4938210,796887
00f64b2b-d18d-47d6-a141-f67f1b10d159,1dcc8968-f2cd-441c-beda-6270f70f2863,6264417,692374
00fac320-51af-4b8d-9892-758404ca9d7c,b7539c32-53e7-4908-bda3-81449c367da6,14347436,782092
00ffc13a-2037-4e1e-bf24-dc179008d5f6,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,13659544,921942
01005ffd-9c65-4d6d-ab4d-05697a6084c4,012151a8-0f9a-44c9-997f-ebd68b5389f9,6789815,667090
0102b728-d1ac-3f74-b0cc-898d9ccb0778,f90e8b26-9e52-4669-a5c9-e28529c47894,2973902,598236
0107f9aa-0468-450c-a5e0-e9e928ba4269,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,26423344,1411638
010d7236-9bee-4ef3-9903-748809a54e42,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,4577514,337211
01125fa2-370a-424f-b901-18af438b1c52,9fae44ec-b95c-4b0f-a0a6-f0008613eabf,1735048,201855
01138cef-e37d-4557-8d36-2ffcd11c1a0e,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,2588630,183667
0116c7ef-c15b-3035-8fd4-8c0ac964f95d,ed5d9086-e8cd-473a-b96c-d81ad6c98f0d,2597068,452672
011e0634-e1cc-4148-b1ec-7f55a0fc0bf1,8da127cc-c432-418f-b356-ef36210d82ac,6645378,374881
0120f39b-e856-4091-b4bf-8730d1eec42e,e3e0abcd-7671-4482-a9d8-462f5acc9be5,6656231,918675
0121354b-5fcd-4397-852a-4ea3cbf90611,cbf7888b-30db-48a8-8575-1d4b1df41af0,9002051,780419
01233516-65d3-4959-812a-742fa21b5ddc,b2d122f9-eadb-4930-a196-8f221eeb0c66,12582122,1276295
01234359-24b5-4f1d-a3cf-d7571aa3f883,a0e8a1b1-5f8f-475a-a253-17415c17d0ff,6751113,564793
01265eab-6c11-47b4-8609-9eb6d403a545,1ee37742-1e3d-4e61-84d2-bc85f4c1459a,2773627,154730
0127b38b-e22e-422c-83c1-35b6adcc8bf1,e43daa78-3cf3-4cf9-bc27-af4d4e675a02,6953176,650161
0129d26e-c67a-3c73-8f4f-eea51714b8cd,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,14961007,1113644
012a2308-6e74-4e75-a28f-85ffcef947c5,1036b808-f58c-4a3e-b461-a2c4492ecf1b,3875723,345718
