song_mbid,artist_mbid,playcount,listeners,song_enc_id,artist_enc_id
434ef499-0976-45df-86af-891ad59a0eb4,48646387-1664-4c9a-9139-9bfd091b823c,11355351,636717,2151,287
8c7e7ec8-05dc-4c80-b0ab-64cf94ab2f21,8c529495-91f5-4e2f-b71b-adcb66878d04,4514138,449337,3460,573
8bdd8c40-5f5c-4957-a417-b0b066c69af9,0ab49580-c84f-44d4-875f-d83760ea2cfe,2869072,385020,3450,40
03267222-8c6f-38b7-bfbd-3b954414fc7a,44cf61b8-5197-448a-b82b-cef6ee89fac5,8690996,877104,270,270
8ce3454e-6892-4256-ba0c-398fa29129aa,2baf3276-ed6a-4349-8d2e-f4601e7b2167,14455974,713785,3468,163
d0c7d317-3f0b-41cb-91c2-a005a0c1441e,2873b450-13c6-4ca1-8ca3-646c25af3202,3303314,324337,4360,151
64bca479-8a95-4ebd-a1db-bff355892b62,6f1de078-6684-4792-820d-2ffad64c15ed,15113947,1457985,2815,454
a8be6c3e-cc77-4df6-9cfe-e9d0efe520fb,1dcc8968-f2cd-441c-beda-6270f70f2863,3234406,381319,3823,112
da25eade-e561-4af9-90ed-9f3619a05cf1,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,10666499,885115,4477,257
d6d23026-0379-479e-8e40-d7a56ef63015,96855c21-b832-4366-ba12-0d2330c36a86,25406790,1221780,4430,618
4b2741a0-d6b0-4070-a0bd-f278823a4d72,5bbf0f10-4355-42cb-9d08-6b777a8a300d,3106607,321817,2320,368
a364371e-0276-431d-adfc-29f97e09304b,a2a3f910-b188-43e7-81d0-f1ac2a2f3e12,3869805,221327,3748,670
bb239bff-a168-4d58-b496-937647d641b6,0c33fb3f-50ab-4eba-adb4-7e4faa9bcc54,8890835,251663,4086,48
00a9c969-b3ed-4b4b-a837-7ba9faa4070c,9c9f1380-2516-4fc9-a3e6-f9f61941d090,18252336,1768892,63,645
c2d62600-c644-481d-afd9-76b0e4758637,48646387-1664-4c9a-9139-9bfd091b823c,9310647,614780,4173,287
3042c3d0-c637-453a-9470-2dfb9093ad7c,f27ec8db-af05-4f36-916e-3d57f91ecf5e,12194479,2063130,1812,996
82c5e141-dec3-425a-8cd2-0d36dda6ac1b,e43daa78-3cf3-4cf9-bc27-af4d4e675a02,3618431,461464,3298,937
21ca6993-c499-408b-babe-1ca6d370cfe3,23c8056b-ee13-4cfc-a772-2f5292e35bb5,18592277,477926,1469,134
847f3311-d462-44ad-9cd6-f69c528cd4f1,f4b6e451-5dce-4842-a555-f793892299b3,2104716,149177,3329,1009
829fa8da-9431-4bb6-a396-92eff9a5b513,5f95440d-7737-4a36-9bcf-c05337f7129b,1798328,207363,3290,385
ecf5c439-0aaf-4c47-91ba-0a7cc782be05,1e4e9db7-5068-4a9c-bdd0-5777e47172c8,5135350,367955,4717,114
039a04c6-df79-4024-8771-4dfe1229471a,7527f6c2-d762-4b88-b5e2-9244f1e34c46,4113853,467217,300,474
9ff737c3-48ff-4443-a9da-71b3a5b87243,ee0b11de-0c8a-4267-9886-198f4579e1db,4341290,315201,3705,974
f62a520d-3ea3-4876-aa01-3ec6efe76c25,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,14811808,1660352,4822,865
6684c04e-ff15-4e47-83c6-0a09215c111f,2f548675-008d-4332-876c-108b0c7ab9c5,6686421,893335,2843,178
1c8e3e41-0d90-4573-8528-e809cce46c39,4c671d5a-7027-4398-8055-03e61d1a3967,9602820,820234,1341,309
5a9950a1-784b-4713-b81c-ab48d075cb0c,e21857d5-3256-4547-afb3-4b6ded592596,4571104,749968,2616,928
ab06882e-4228-4626-83cb-4640b28c6d01,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,4706882,666322,3850,587
797dee92-f3a5-3987-8831-1aac9516f9f1,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,21199587,1945289,3155,837
fc7a8c5b-8174-4ee0-822d-df6b89256f0d,7b748dac-f5ce-45a7-9b95-c1d8b5b013ed,506158,92469,4890,497
b4c2bb85-5a12-4441-aab2-7735206eaad0,e6424fa5-08d3-41c6-96f3-8549f733708c,1509349,194175,3979,947
0caf5f3a-bd54-42ea-be3a-1ec8d6f12f9c,b4691384-50c3-4afd-9988-51d3ec5db65d,5297201,354749,798,737
e13a9252-a477-4b18-980f-4e25d15f31b7,e3513b4f-2a13-45f5-8ead-e79b1af0bf68,2212969,195765,4563,933
8bb6502c-b904-4bda-9944-5714f8e8e539,70198b37-f6c7-4cc7-a728-4224e860a15f,20331890,688235,3448,458
cdf91e64-6e44-4239-becf-04ed2ba997c0,e520459c-dff4-491d-a6e4-c97be35e0044,6152259,506121,4328,941
cc340f53-182f-475d-b768-09a2b03d4f8c,b7d92248-97e3-4450-8057-6fe06738f735,4684218,467485,4296,748
60e11f3a-29dd-4247-aa0f-fa193acd1d27,9f81247f-7f57-42f3-a8ba-75bef554e591,5163261,455063,2759,661
e8d4e414-325d-40d1-8e8b-2d7c7e5c31d8,201412c6-7ced-472b-87a9-9259ec3c07d3,8549009,641871,4666,117
1c4bd679-65c8-4130-8634-09ef7c814522,2baf3276-ed6a-4349-8d2e-f4601e7b2167,6050462,460604,1333,163
ceff3f5d-6eaa-4dc5-bbeb-5c33b6740a7c,bbc5b66b-d037-4f26-aecf-0b129e7f876a,7166423,889774,4340,767
6b4d9194-27c4-42c8-814d-76fbd9ad55d1,3e55d51d-687f-4a9d-af96-2fabccf802e5,10533218,779900,2919,249
a46fe5f7-fb2f-4f59-afae-53862b3850f6,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,17579613,1044481,3765,579
f3575405-4090-4f73-8146-fbd81d8e062d,d03d8ba8-065c-41d9-a804-d6c05a949194,969989,68257,4785,854
2cf5abb2-07b2-44c8-96d5-b14f5b087e36,cbf7888b-30db-48a8-8575-1d4b1df41af0,1771210,231981,1731,834
05e4819e-1fab-37c4-873d-46dd6e32e473,650e7db6-b795-4eb5-a702-5ea2fc46c848,23477677,1851169,442,406
2a5d2e64-5101-40e0-ade0-2f9832911d9c,f2492c31-54a8-4347-a1fc-f81f72873bbf,3993156,490461,1673,994
c007686f-032e-4347-9923-96a0fa54d3ab,54fc0558-12b5-4854-9d57-9441bcd73a72,4106756,330775,4146,344
9a188b30-c43f-4348-b81e-2c8822a70206,ff4d8f86-9910-44b9-af31-dca51a6638a1,3362707,317408,3637,1053
37f3f9f4-053e-46cd-9492-ef655144c653,f7441bc7-d7de-4813-a2fc-31a4033d396d,2404313,178188,1968,1017
f0ce0cde-fc0e-4742-b525-7bdfa7b1cb5e,afb6cc6d-a060-4f5e-bc3a-00d4b6832e41,2097884,255597,4760,716
1ff77fbe-6857-4048-85a5-16cf2a5ac697,56c4b861-0922-4c3a-a9b9-3bfcb00f8274,3136344,489981,1418,352
701c3fd2-fd8d-4071-9ea3-43e7bbc88ace,e3492ea0-5997-4241-a7bf-2fd7fb1bfad1,1974727,356824,2993,932
108b17ef-af07-4376-b772-65dfb03dd6d0,4593d49a-7f67-46ba-9ec0-126bd676286f,4425976,636403,963,275
01cc214e-181f-4390-a86c-b7aaeffd8539,0d79fe8e-ba27-4859-bb8c-2f255f346853,15208709,414344,160,50
7d73a5df-f7b6-4843-ad24-eeabac8cef55,272989c8-5535-492d-a25c-9f58803e027f,4615500,461741,3218,147
30f75377-0d7a-4315-adbe-029787aecf46,f181961b-20f7-459e-89de-920ef03c7ed0,24303761,1434435,1822,990
2fdbdcbc-4980-4155-936a-cb0160870f5e,95663592-1447-4579-90f7-c94733476667,5006628,193708,1798,613
