name,hash,x,y,z
pop,4f197c99,37.1659,-135.2242,-16.9885
rap,51c4ccfd,144.3086,-112.9548,-8.9344
rock,38464bf0,-49.0316,37.9819,18.5844
urbano latino,213f9840,211.4576,-171.3668,-14.7692
hip hop,ac806dd8,160.9126,-73.8007,-9.2966
trap latino,a0fe6e47,215.9282,-177.382,0.8323
reggaeton,65013ec4,209.7066,-162.4223,-28.928
dance pop,9706bd40,62.0998,-151.988,-4.1733
pop rap,9e66b6da,142.3683,-125.713,13.6548
modern rock,8b1f2611,-62.1187,-115.9999,-1.9241
pov: indie,254a0be2,-30.8308,-60.8914,-2.6533
musica mexicana,034e4518,107.4428,66.5731,-4.452
latin pop,c71deb93,40.3446,-85.9629,-10.8731
classic rock,453e442c,-14.068,87.3439,0.3684
filmi,53a1a1b0,38.6903,108.8991,10.3314
permanent wave,5c702970,-84.2268,-39.5241,3.5417
trap,e6d30736,144.9239,-126.0672,4.1132
alternative metal,1f899345,-148.4383,-76.7332,9.1816
k-pop,8ba66569,30.9191,-121.3335,-12.8664
r&b,3f2132fc,74.8633,-124.0214,18.9322
corrido,63f98ff4,158.6919,77.4702,-9.192
canadian pop,d5f8e614,-15.704,-39.434,-4.2835
norteno,f80ad966,124.0055,61.6416,0.4258
sierreno,7d2cf91d,141.5027,82.3084,-3.7969
album rock,d66befaf,-80.4086,4.724,-7.1769
soft rock,9c0e7014,-4.444,2.4522,-4.6273
pop dance,5d9e9747,33.5831,-184.4714,-13.9519
sad sierreno,5b4f4d92,120.8666,72.8003,-7.4099
edm,47ff0043,31.878,-181.0648,-4.7542
hard rock,a8dec36a,-130.4469,-5.3066,5.4324
contemporary country,24d2aaf5,-35.7974,-91.687,-3.8053
mellow gold,80975ad0,-26.6446,55.7057,7.6885
uk pop,59660731,44.1355,-50.3748,10.6933
melodic rap,d0606675,151.6287,-150.4322,10.7612
modern bollywood,f3f3737e,28.4403,-43.2044,28.892
alternative rock,fe053870,-121.6141,-17.3923,15.2275
banda,6e98a3cf,117.5246,25.0436,0.5085
post-grunge,996d0e16,-131.4391,-143.3138,12.1926
corridos tumbados,8d5d78ec,125.0785,77.9507,-1.3166
sertanejo universitario,e9bd1d04,51.0758,-37.637,4.1005
nu metal,d3d397dc,-131.2936,-121.7128,0.6486
country,8e68b3e5,10.6447,66.8893,8.67
art pop,a7638f7b,-31.8612,-17.0609,0.8735
atl hip hop,afdd5b6d,150.4843,-162.4787,-1.7744
urban contemporary,babc25c8,75.6482,-109.9122,29.3216
sertanejo,10653f8b,49.0409,-21.0332,20.0725
southern hip hop,9a92464c,151.8481,-122.6102,8.8674
singer-songwriter,57bab15c,-1.4819,94.6918,-9.8622
reggaeton colombiano,5228b302,211.8712,-163.1501,-6.4157
